# [1] = w_cond/w_buoy	[2] = p_hbi; no visc	  [3] = p_hbi; real visc	[4] = p_hbi; super visc
#
0.05773502691896259     0.17788743634924817     0.17709794653700603     0.1732825540442044
0.0726840925389023      0.20385584675208301     0.20272386801014505     0.19728599710012928
0.09150385113042293     0.23088997143623785     0.22930775746170848     0.2217562158757347
0.11519652346511987     0.25876005585684386     0.25659187057598143     0.24631780015874466
0.14502383074058248     0.28726743566078594     0.28434080036477066     0.2705850758258316
0.1825741858350554      0.31622776601683794     0.31232223701462286     0.2941362100389406
0.22984728208538197     0.3454551630077389      0.3402880885542226      0.31648781180162683
0.2893605842491096      0.37475010595558744     0.36795862854005584     0.3370733699438979
0.3642833926828111      0.4038921175649929      0.3950105520177886      0.3552281437356005
0.4586056201429842      0.43263751957364416     0.4210691610861669      0.3701839753884983
0.5773502691896258      0.46072231232103844     0.4457047397336091      0.3810794629848005
0.7268409253890231      0.4878700149317605      0.46843310191903054     0.386993601567314
0.9150385113042296      0.5138039175018544      0.4887201156726753      0.3870136190386098
1.1519652346511988      0.5382626007995452      0.5059897053214975      0.3803484305312163
1.4502383074058252      0.5610168836692616      0.5196345628688644      0.36649382309853695
1.825741858350554       0.5818857933354427      0.5290288602373096      0.3454374280682685
2.2984728208538194      0.6007489940823441      0.5335430453334986      0.31785501117196124
2.8936058424910964      0.6175535497984035      0.5325626802296358      0.28520302306276313
3.642833926828111       0.6323139212974689      0.5255163095839147      0.24959649765506448
4.586056201429844       0.6451054435159083      0.5119209792644183      0.2134359576422439
5.773502691896258       0.6560527687303529      0.4914565799485111      0.1789061895722464
7.268409253890232       0.6653155196101527      0.46407813131671133     0.14757848139073335
9.150385113042297       0.6730735058060543      0.4301625796998929      0.12027637875981956
11.519652346511993      0.6795134149702058      0.3906576380971841      0.09718358809423477
14.502383074058258      0.6848181540041796      0.34715822668607377     0.07806090763718171
18.25741858350554       0.6891592665394658      0.3018114134476296      0.062453583195931126
22.984728208538197      0.6926922748503189      0.2569984818258951      0.04983760799918102
28.936058424910968      0.6955544547641647      0.21487834242296325     0.03970368410825728
36.42833926828113       0.6978644260685959      0.17699747707669714     0.03159651539672273
45.86056201429846       0.69972296191279        0.1441382556026264      0.025127609269019902
57.73502691896258       0.7012145193199596      0.11641303075779796     0.0199744569321514
72.68409253890232       0.7024091165220533      0.09348373344567018     0.015873752322984668
91.50385113042297       0.7033642997764481      0.07478236444328108     0.012612722162923376
115.19652346511994      0.7041270381568441      0.05967103596552791     0.010020523627531539
145.0238307405826       0.7047354561099209      0.047535275889414565    0.00796052873090043
182.5741858350554       0.705220362680548       0.037827838989882054    0.0063237459577344425
229.84728208538198      0.7056065677748128      0.0300826155317463      0.005023367187440026
289.36058424910965      0.705913994406728       0.023913023347772826    0.00399032129996051
364.2833926828113       0.7061586056341553      0.019003606898546858    0.0031696844751949687
458.6056201429846       0.7063531689642814      0.015099527040527274    0.0025177997466782715
577.3502691896258       0.706507881640255       0.011996200705755676    0.001999974400570864
