# [1] = w_cond/w_buoy	[2] = p_hbi; no visc	  [3] = p_hbi; real visc	[4] = p_hbi; super visc
0.10000000000000002	0.30436747914371104	0.3042920389758105	0.30391549802363294
0.12589254117941673	0.34284536904950963	0.3427409242940931	0.3422197584736603
0.15848931924611137	0.3823491457685818	0.382207005468548	0.38149796329309693
0.19952623149688797	0.4226137853614989	0.42242283401901093	0.4214706420024288
0.251188643150958	0.4633826016199204	0.4631285517193949	0.46186222950064293
0.316227766016838	0.504387413113426	0.5040518476100125	0.5023800009611773
0.39810717055349737	0.5453348947627056	0.5448940421285545	0.5426988624790758
0.5011872336272724	0.5858998955593145	0.5853230667491712	0.58245270889701
0.6309573444801935	0.6257259267409166	0.6249735298643794	0.6212324863802384
0.7943282347242816	0.6644327567969613	0.6634537909150857	0.658590833474663
1.			0.7016306509408736	0.700359564428885	0.6940527801857195
1.2589254117941675	0.736940097168931	0.7352928766418622	0.7271312907972907
1.584893192461114	0.7700149250960667	0.7678842545171065	0.7573454941357257
1.99526231496888	0.8005657948624981	0.7978150861279518	0.7842385001479913
2.511886431509581	0.828380483247932	0.8248365237428408	0.8073911340424368
3.1622776601683795	0.8533375755352363	0.8487814608233629	0.8264281084582366
3.981071705534973	0.8754112271772798	0.8695671475835212	0.8410142920576367
5.011872336272725	0.8946663862107619	0.8871877183243385	0.8508406861220332
6.309573444801934	0.9112457535946323	0.9016977785689299	0.8556020608127953
7.943282347242818	0.9253512059578173	0.9131896438576055	0.8549704295079011
10.			0.9372230126874929	0.9217674342879247	0.8485703731592691
12.589254117941676	0.947119906371554	0.9275209719876806	0.8359637717032221
15.848931924611144	0.9553021871414318	0.9305015872447157	0.8166531480525865
19.952623149688808	0.9620189590047341	0.930700934656239	0.7901148763546294
25.118864315095824	0.9674996463147247	0.9280331239698962	0.7558754627256579
31.622776601683796	0.9719492959470631	0.922320109112599	0.7136436391679364
39.810717055349734	0.9755468558389574	0.9132804527660815	0.6635026180024893
50.11872336272725	0.9784455609169349	0.9005223342438009	0.6061417914484766
63.09573444801937	0.9807746527557506	0.8835430467054595	0.5430594539797167
79.43282347242823	0.982641822370716	0.8617393181730079	0.47661307145627774
100.			0.9841359377205354	0.8344356302837408	0.4097888006161431
125.89254117941677	0.9853297676628288	0.8009410464057066	0.3456780126557522
158.48931924611142	0.9862825308715436	0.7606477593561668	0.2868529565670285
199.5262314968881	0.98704218166576	0.7131835191344515	0.2349373393883014
251.18864315095826	0.9876474001221316	0.6586189494841479	0.19053530212101658
316.22776601683796	0.988129287993848	0.5977006274640609	0.15344738669643673
