# [1] = w_cond/w_buoy	[2] = p_hbi; no visc	  [3] = p_hbi; real visc	[4] = p_hbi; super visc
0.1	0.007836311748111502	0.00783608720756095	0.007834964766660697
0.12589254117941673	0.009864769787852558	0.009864321875545505	0.009862083141532663
0.15848931924611134	0.012417888007141362	0.012416994636380895	0.012412530396792028
0.19952623149688797	0.015630958595149798	0.015629177134204503	0.01562027808313347
0.251188643150958	0.019673753109028372	0.019670201935746142	0.019652472103689353
0.31622776601683794	0.024758905355793177	0.024751830267991874	0.02471653682788184
0.3981071705534973	0.031151931063878445	0.03113784726325247	0.031067685928860552
0.5011872336272724	0.039182794749077265	0.03915479706954469	0.03901561541061492
0.6309573444801934	0.049258437451030444	0.04920289761021362	0.04892770989296655
0.7943282347242815	0.0618746590993085	0.06176484658465559	0.06122353388235723
1.	0.07762382785664532	0.07740781591862175	0.07635134935097894
1.2589254117941675	0.09719161415258883	0.09677000366267627	0.09473233089068393
1.5848931924611138	0.12133118208503085	0.12051785142869868	0.11665499326077174
1.9952623149688797	0.15079835574650702	0.14925579484659318	0.14210893362085436
2.511886431509581	0.18623122837477202	0.18337410192375678	0.17057484187009098
3.1622776601683795	0.22797256245819508	0.22284321385140013	0.2008383903073665
3.981071705534973	0.2758717962807163	0.2670091632586689	0.23093691780273914
5.011872336272725	0.32915186340565195	0.3144873823237435	0.2583225615467867
6.309573444801933	0.386434205493501	0.3632347552676509	0.280226897238626
7.943282347242817	0.4459421000655762	0.4107845043649031	0.2941258985534612
10.	0.5057950824398677	0.4545353669000358	0.2982017319436471
12.589254117941675	0.5642691241119756	0.4919864267037463	0.2917345392459105
15.848931924611142	0.6199519804813663	0.5208840249055274	0.27534942442317345
19.952623149688808	0.6717973414208908	0.5393146839798256	0.2509976751866014
25.11886431509582	0.7191153671434072	0.5457985439549888	0.22157180070002508
31.622776601683793	0.7615334634189528	0.5394247951282007	0.1902216393175679
39.810717055349734	0.7989460130473323	0.5200422382523021	0.15965057334488805
50.11872336272725	0.8314608191215463	0.4884754996058556	0.13169545519918302
63.09573444801936	0.8593455584808791	0.44667733309339047	0.10728411083500564
79.43282347242821	0.8829767626230343	0.3976733468721053	0.08664202920507512
99.99999999999999	0.9027939471740266	0.34517809289666523	0.06956412716269504
125.89254117941674	0.9192611630290503	0.29292320093041696	0.05563818602952556
158.48931924611142	0.9328372863305362	0.24395753479083782	0.044389305193195436
199.52623149688807	0.9439551776330662	0.20023301763079954	0.03535809220651391
251.18864315095823	0.9530088336858652	0.16259353532765	0.028135582790515576
316.22776601683796	0.9603470464141286	0.13104120048981166	0.02237387745656914
